filename,text
IMAGES-007-HOUSE_OVERSIGHT_024147.txt,"Section 2.A

Equities

36 UBS

HOUSE_OVERSIGHT_024147
"
IMAGES-012-HOUSE_OVERSIGHT_033053.txt,"From: jeffrey E. [jeevacation@gmail.com]

Sent: 1/3/2018 7:02:31 PM
To: Weingarten, Reid ay
Subject: Re:

Importance: — High

not that 1 know of

On Wed, Jan 3, 2018 at 2:01 PM, Weingarten, Reid (> wrote:

Does he have a lawyer? Is he dealing with mueller?

Sent from my BlackBerry 10 smartphone.

From: jeffrey E.

Sent: Wednesday, January 3, 2018 1:53 PM
To: Weingarten, Reid

Subject: Re:

told you

On Wed, Jan 3, 2018 at 1:11 PM, Weingarten, Reid ~~ sss wrote:

Internet is crashing right now about this....trtump apparently off his rocker

From: jeffrey E. [mailto:jeevacation@gqmail.com]
Sent: Wednesday, January 03, 2018 1:05 PM
To: Weingarten, Reid

Subject:

http://nymag.com/daily/intelligencer/2018/01/michael-wolff-fire-and-fury-book-donald-trump.html

please note

The information contained in this communication is
confidential, may be attorney-client privileged, may
constitute inside information, and is intended only for
the use of the addressee. It is the property of

JEE

Unauthorized use, disclosure or copying of this
communication or any part thereof is strictly prohibited
and may be unlawful. If you have received this
communication in error, please notify us immediately by
return e-mail or by e-mail to jeevacation@gmail.com, and
destroy this communication and all copies thereof,
including all attachments. copyright -all rights reserved

please note

HOUSE_OVERSIGHT_033053
"
IMAGES-003-HOUSE_OVERSIGHT_015324.txt,"A Letter to Barack Obama

October 10, 2010
Dear President Obama,

It seems that the theme emanating from the White House is “Eat,
Pray, Be Disappointed.” And yet, whenever | do feel disappointed, | always
realize that the alternative was John McCain, with Sarah Palin just one
Halloween “Boo!” away from the presidency, and then | always feel a
sense of relief.

Actually, you’ ve kept one big campaign promise--to send more
troops to Afghanistan--so | guess we can’ t fault you for that. In fact,
according to Bob Woodward in Obama’ s Wars, all you want to do now is
get out of Afghanistan. Well, why don’ t you just do what Osama bin
Laden did; cross over to Pakistan. Since we bribe Pakistan to be our ally,
you’ d think they would never consider harboring bin Laden, though they
reek with empathy when our outsourced drones drop those bombs.

Also, during the campaign, you said you believe that the legality of
same-sex marriage should be decided by the states, but that you
personally think marriage should be between a man and a woman. Which

is exactly the position that eventually led to the revocation of Carrie

HOUSE_OVERSIGHT_015324
"
IMAGES-004-HOUSE_OVERSIGHT_018406.txt,"deliver the honestly-earned confidence of the secure. They will provide purchase for
the patient work of diplomacy, a marked shift from the crisis-to-crisis lurching of
today.

The texture of our values should be everywhere woven into these gatelands we will
cultivate: Democratic choice, freedom of thought, privacy. We won't have time for
leisurely deliberation about ideals in the crashing, time-compacted crises ahead, so
we should begin with them. Let other nations measure gated enclosures for their
different values, marked by their paranoias and historical burdens; our strength will
be an order that reflects our habits of civilization. The curious, open-minded
searching native to our temperament, for instance. This will force constant
innovation and evolution, an antidote to the failure to change that poisons most
closed systems. A continued absence of gates will undo us in the short run. But the
long run will be a disaster if our gates are inflexible, too closed, incapable of upgrade
or —- worse - girded by promises and fears that are not naturally our own.

A second principle is that we ought not force anyone else to use our gated systems.
Gatekeeper or gatekept? No more profound, painful, liberating or enslaving political
choice now exists. Nations must be free to select, in as much as they can, their own
terms of enmeshment. Our aim should simply be to build the best order we can.
America’s tremendous economic and technical lead serves us - for now, at least - as
the isolating stretch of the Atlantic and Pacific once did. There’s no need to force
others to follow us. Recall Greshams’ famous “economic law”: The way in which the
bad drives out the good. A stock market made of swindlers won’t attract investors
for very long. Well, in many networks, a sort of reverse-Gersham’s law applied. The
good drives out the bad. By this I don’t mean merely the self-cleaning properties of
